HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H7,446,P15,1.092,,7.385,,,,,2.439,0.57,80.266,
H7,446,P16,0.539,,5.718,,,,,1.93,0.355,91.829,
H7,446,P17,0.683,,6.508,,,,,2.248,0.387,99.832,
H7,446,P18,0.337,,4.218,,,,,1.57,0.273,92.033,
H7,446,P19,1.146,,9.292,,,,,3.644,0.401,97.16,
H7,446,P20,1.063,,6.918,,,,,2.404,0.563,87.562,
H7,446,P21,0.873,,8.277,,,,,2.695,0.412,106.815,
H7,446,P22,7.79,,22.604,,,,,5.218,1.901,100.873,
H7,446,P23,5.691,,20.28,,,,,4.655,1.556,86.536,
H7,446,P24,8.727,,20.083,,,,,7.659,1.451,90.976,
H7,446,P25,8.255,,21.197,,,,,5.934,1.771,91.826,
H7,446,P26,8.244,,22.943,,,,,8.007,1.311,89.368,
H7,446,P27,7.933,,19.069,,,,,7.325,1.379,85.219,
H7,446,P28,4.797,,18.424,,,,,6.422,0.951,91.94,
H7,446,P29,6.863,,17.611,,,,,6.728,1.299,85.294,
H7,446,P30,4.25,,16.839,,,,,6.062,0.893,94.949,
H7,446,P31,1.967,,11.305,,,,,3.489,0.718,98.251,
H7,446,P32,4.268,,15.568,,,,,4.471,1.216,85.395,
H7,446,P33,5.224,,20.743,,,,,6.251,1.064,91.078,
H7,446,P34,5.502,,18.622,,,,,5.027,1.394,86.93,
H7,446,P35,8.277,,25.616,,,,,7.386,1.427,88.143,
H7,446,P36,4.595,,18.815,,,,,5.015,1.166,91.695,
H7,446,P37,4.863,,20.48,,,,,5.442,1.138,82.621,
H7,446,P38,3.6,,16.843,,,,,4.39,1.044,85.579,
H7,446,P39,9.428,,36.383,,,,,6.635,1.809,93.42,
H7,446,P40,3.164,,20.798,,,,,4.157,0.969,96.145,
